date_collecte,ville_recherchee,station_nom,aqi,pm25,pm10,no2,o3,so2,url_source,lat,lon
2026-01-20 17:09:26.093151,Paris,Paris,59,59.0,32.0,18.6,7.4,0.6,https://aqicn.org/city/paris,48.856614,2.3522219
2026-01-20 17:09:28.364269,Marseille,"Marseille 5 Avenues, PACA, France",30,15.0,7.0,2.9,29.9,0.2,https://aqicn.org/city/france/paca/marseille-5-avenues,43.305287,5.394716
2026-01-20 17:09:30.738923,Lyon,"Lyon Trafic Jaurès, France",22,,22.0,17.7,,,https://aqicn.org/city/france/rhonealpes/rhone/lyon-trafic-jaures,45.74972628,4.84439392
2026-01-20 17:09:33.005545,Lille,"Lille Leeds, Nord-Pas-de-Calais, France",61,61.0,8.0,20.6,15.6,1.1,https://aqicn.org/city/france/nord-pas-de-calais/lille-leeds,50.640794444443976,3.074772222222191
2026-01-20 17:09:35.192959,Toulouse,"Toulouse Berthelot, France",23,7.0,3.0,4.9,22.5,,https://aqicn.org/city/france/midipyrenees/toulouse-berthelot,43.5873309,1.444026232
2026-01-20 17:09:37.312224,Nice,"Nice Arson, PACA, France",34,34.0,18.0,2.3,31.1,1.1,https://aqicn.org/city/france/paca/nice-arson,43.702075,7.286256
2026-01-20 17:09:39.587682,Nantes,"Bouteillerie, Nantes, Loire, France",31,17.0,8.0,2.2,31.2,,https://aqicn.org/city/france/loire/nantes/bouteillerie,47.2222,-1.53743
2026-01-20 17:09:41.788311,Strasbourg,"Clemenceau, Strasbourg, Alsace, France",23,63.0,23.0,13.5,2.1,,https://aqicn.org/city/france/alsace/strasbourg/clemenceau,48.59043,7.744983
2026-01-20 17:09:44.009153,Bordeaux,"Grand Parc, Bordeaux, Aquitaine, France",38,38.0,12.0,4.2,22.8,,https://aqicn.org/city/france/aquitaine/bordeaux/grand-parc,44.858413102209,-0.584282227097
2026-01-20 17:09:46.237182,Rennes,"Thabor, Rennes, France",28,18.0,8.0,1.9,28.2,,https://aqicn.org/city/france/bretagne/rennes/thabor,48.11521,-1.673088
2026-01-20 17:09:48.459852,Montpellier,"Prés d'Arènes, LangedocRoussillon, France",35,35.0,13.0,6.3,19.0,,https://aqicn.org/city/france/langedocroussillon/pres-darenes,43.591486,3.886814
2026-01-20 17:09:50.774767,Grenoble,"Grenoble Les Frenes, France",38,38.0,17.0,10.8,10.9,1.1,https://aqicn.org/city/france/rhonealpes/isere/grenoble-les-frenes,45.162232917637,5.73567122388
