titre,url,source,date_collecte,type,processed_at
Risques chimiques,https://www.inrs.fr/risques/chimiques/ce-qu-il-faut-retenir.html,INRS,2026-01-20 16:47:00.470642,GUIDE_PRACTIQUE,2026-01-20 16:49:58.623596
Bruit,https://www.inrs.fr/risques/bruit/ce-qu-il-faut-retenir.html,INRS,2026-01-20 16:47:03.393909,GUIDE_PRACTIQUE,2026-01-20 16:49:58.623596
Risques biologiques,https://www.inrs.fr/risques/biologiques/ce-qu-il-faut-retenir.html,INRS,2026-01-20 16:47:06.294357,GUIDE_PRACTIQUE,2026-01-20 16:49:58.623596
