date_collecte,ville_recherchee,station_nom,aqi,pm25,pm10,no2,o3,so2,url_source,lat,lon,niveau_risque,conseil_qhse,type,processed_at
2026-01-20 16:48:56.299320,Argenteuil,"Gennevilliers, Paris",55,55.0,23.0,13.2,,,https://aqicn.org/city/france/paris/gennevilliers,48.9302,2.29421,MODÉRÉ,Qualité acceptable. Aérez les locaux.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:48:58.706457,Mulhouse,"Briand, Mulhouse, Alsace, France",62,62.0,25.0,16.9,6.0,0.6,https://aqicn.org/city/france/alsace/mulhouse/briand,47.747684,7.321364,MODÉRÉ,Qualité acceptable. Aérez les locaux.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:00.888519,Montreuil,"Bobigny, Paris",50,50.0,17.0,11.2,,,https://aqicn.org/city/france/paris/bobigny,48.9024,2.45261,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:03.291627,Caen,"Caen Chemin-Vert Square Schuman, France",31,9.0,,,30.5,,https://aqicn.org/city/france/normandie/caen-chemin-vert-square-schuman,49.1922082793814,-0.391111312781115,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:05.633641,Saint-Paul,"Chaussee Royale, Reunion, France",1,26.0,1.0,2.2,8.6,1.2,https://aqicn.org/city/france/reunion/chaussee-royale,-21.011038888889,55.274694444444,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:08.079577,Roubaix,"Roubaix Serres, Nord-Pas-de-Calais, France",63,63.0,16.0,9.2,15.6,1.1,https://aqicn.org/city/france/nord-pas-de-calais/roubaix-serres,50.70654444444419,3.1806611810675345,MODÉRÉ,Qualité acceptable. Aérez les locaux.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:10.326267,Tourcoing,"Roubaix Serres, Nord-Pas-de-Calais, France",63,63.0,16.0,9.2,15.6,1.1,https://aqicn.org/city/france/nord-pas-de-calais/roubaix-serres,50.70654444444419,3.1806611810675345,MODÉRÉ,Qualité acceptable. Aérez les locaux.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:12.712741,Nanterre,"La Defense, Paris",50,50.0,,13.3,,,https://aqicn.org/city/france/paris/la-defense,48.8913,2.24064,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:16.958505,Avignon,"Avignon Mairie, PACA, France",58,58.0,21.0,7.8,12.2,,https://aqicn.org/city/france/paca/avignon-mairie,43.949673,4.804341,MODÉRÉ,Qualité acceptable. Aérez les locaux.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:20.657063,Vitry-sur-Seine,Paris,59,59.0,32.0,18.6,7.4,0.6,https://aqicn.org/city/paris,48.856614,2.3522219,MODÉRÉ,Qualité acceptable. Aérez les locaux.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:22.881163,Creteil,"Nogent-sur-marne, Paris",20,,20.0,,,,https://aqicn.org/city/france/paris/nogent-sur-marne,48.8408,2.4844,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:25.218420,Poitiers,"Poitiers Centre, PoitouCharentes, France",18,17.0,9.0,6.4,17.5,,https://aqicn.org/city/france/poitoucharentes/poitiers-centre,46.583958333334,0.34560277777775,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:27.586333,Dunkerque,"mer-cheminot, St Pol, Nord-Pas-de-Calais, France",53,53.0,15.0,7.4,11.4,0.6,https://aqicn.org/city/france/nord-pas-de-calais/st-pol/mer-cheminot,51.03276112413968,2.3323583360265743,MODÉRÉ,Qualité acceptable. Aérez les locaux.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:29.824620,Aubervilliers,Paris,59,59.0,32.0,18.6,7.4,0.6,https://aqicn.org/city/paris,48.856614,2.3522219,MODÉRÉ,Qualité acceptable. Aérez les locaux.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:32.062890,Le Mans,"Sources, Le Mans, Loire, France",26,14.0,5.0,2.5,26.3,,https://aqicn.org/city/france/loire/le-mans/sources,47.9711,0.221456,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:34.379659,Colombes,"La Defense, Paris",50,50.0,,13.3,,,https://aqicn.org/city/france/paris/la-defense,48.8913,2.24064,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:36.600557,Asnieres-sur-Seine,"Gennevilliers, Paris",55,55.0,23.0,13.2,,,https://aqicn.org/city/france/paris/gennevilliers,48.9302,2.29421,MODÉRÉ,Qualité acceptable. Aérez les locaux.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:38.876788,Aulnay-sous-Bois,"Bobigny, Paris",50,50.0,17.0,11.2,,,https://aqicn.org/city/france/paris/bobigny,48.9024,2.45261,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:41.305961,Courbevoie,"La Defense, Paris",50,50.0,,13.3,,,https://aqicn.org/city/france/paris/la-defense,48.8913,2.24064,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:44.524313,Cherbourg,"Cherbourg - Hôtel-de-ville, France",29,17.0,,,29.3,,https://aqicn.org/city/france/normandie/cherbourg-hotel-de-ville,49.642167,-1.624472,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
2026-01-20 16:49:46.763961,Reims,"Doumer, Reims, Champagne Ardenne, France",30,30.0,16.0,12.3,9.9,1.3,https://aqicn.org/city/france/champagne-ardenne/reims/doumer,49.2507,4.0230805555557,BON,Qualité de l'air idéale pour les activités extérieures.,QUALITE_AIR_TR,2026-01-20 16:50:15.496575
